iter	RMSE
0	10906.67588
1	10459.374
2	10050.6906
3	9641.035844
4	9258.033057
5	8899.140679
6	8564.76575
7	8262.540679
8	7971.205655
9	7711.886512
10	7455.893995
11	7226.627114
12	7003.408325
13	6806.960746
14	6617.52107
15	6432.742159
16	6276.735499
17	6114.069583
18	5964.644864
19	5825.840344
20	5694.254099
21	5575.168194
22	5459.304817
23	5359.123491
24	5255.819515
25	5157.383986
26	5069.310198
27	4982.074631
28	4902.432817
29	4832.608919
30	4762.292274
31	4696.548028
32	4630.930653
33	4563.685608
34	4507.665299
35	4446.269633
36	4392.135316
37	4338.001774
38	4288.81892
39	4246.098323
40	4200.463162
41	4157.736124
42	4113.876664
43	4075.868323
44	4036.050862
45	3994.000862
46	3960.356152
47	3926.925742
48	3896.909612
49	3862.192165
50	3828.554899
51	3800.242261
52	3771.34382
53	3746.213974
54	3723.489798
55	3698.477782
56	3681.580873
57	3654.691389
58	3630.478969
59	3610.626875
60	3589.997436
61	3568.837799
62	3550.210252
63	3532.304313
64	3513.337727
65	3498.540986
66	3481.410022
67	3468.351244
68	3452.753489
69	3436.258919
70	3423.655408
71	3409.162122
72	3393.42179
73	3378.790602
74	3367.572615
75	3354.625409
76	3343.740234
77	3333.358721
78	3323.187062
79	3311.014586
80	3299.53686
81	3286.540542
82	3276.278684
83	3266.720619
84	3259.681746
85	3250.275556
86	3243.135363
87	3232.641096
88	3223.308861
89	3215.169793
90	3207.77803
91	3202.479409
92	3196.584242
93	3186.223064
94	3177.55579
95	3168.515555
96	3160.213138
97	3152.820741
98	3145.183604
99	3139.164957
100	3131.267169
101	3123.98258
102	3117.508631
103	3109.375772
104	3102.067948
105	3093.26935
106	3088.860702
107	3085.081408
108	3076.739513
109	3070.719657
110	3065.378823
111	3059.934214
112	3056.612608
113	3050.54733
114	3045.418644
115	3040.605708
116	3034.666628
117	3029.26725
118	3025.348793
119	3020.833436
120	3015.163351
121	3009.656327
122	3005.114826
123	3000.034268
124	2996.257005
125	2990.836292
126	2987.045844
127	2980.308624
128	2975.722101
129	2970.603442
130	2965.721117
131	2961.344491
132	2954.753776
133	2950.284614
134	2946.062036
135	2942.212684
136	2937.822714
137	2931.143278
138	2927.140274
139	2923.178739
140	2919.866752
141	2915.814723
142	2912.161229
143	2908.093462
144	2904.927236
145	2899.601618
146	2895.86107
147	2891.370745
148	2887.087093
149	2884.213983
150	2878.985289
151	2876.468222
152	2869.278262
153	2865.784741
154	2860.942135
155	2857.439878
156	2854.341746
157	2851.139215
158	2848.167333
159	2843.136898
160	2839.193514
161	2836.376313
162	2832.961944
163	2828.5013
164	2824.248638
165	2820.744668
166	2817.620063
167	2814.292536
168	2809.48116
169	2806.160153
170	2801.610661
171	2798.872577
172	2794.788053
173	2791.692295
174	2789.408294
175	2786.373822
176	2782.885181
177	2779.288528
178	2775.857936
179	2772.03123
180	2768.814991
