iter	Passed	Remaining
0	16	16236
1	21	10868
2	27	9114
3	33	8238
4	38	7669
5	44	7306
6	49	7059
7	55	6847
8	60	6673
9	66	6560
10	71	6466
11	77	6378
12	82	6293
13	88	6216
14	93	6151
15	99	6106
16	112	6500
17	118	6443
18	123	6384
19	129	6321
20	134	6276
21	140	6236
22	145	6188
23	153	6234
24	160	6243
25	165	6211
26	171	6172
27	176	6143
28	182	6100
29	188	6104
30	195	6104
31	203	6156
32	212	6227
33	219	6229
34	224	6195
35	229	6143
36	234	6093
37	239	6074
38	244	6028
39	249	5983
40	254	5944
41	259	5910
42	263	5871
43	268	5843
44	273	5806
45	278	5773
46	283	5740
47	288	5715
48	292	5683
49	298	5674
50	303	5646
51	308	5616
52	312	5589
53	317	5560
54	322	5538
55	326	5512
56	332	5506
57	338	5493
58	343	5480
59	349	5471
60	355	5471
61	361	5472
62	366	5450
63	371	5429
64	376	5408
65	380	5385
66	385	5368
67	390	5353
68	395	5337
69	400	5325
70	405	5309
71	410	5294
72	416	5284
73	421	5275
74	427	5266
75	431	5248
76	436	5233
77	441	5218
78	446	5206
79	451	5188
80	455	5171
81	460	5156
82	465	5141
83	470	5129
84	475	5116
85	481	5117
86	486	5109
87	492	5101
88	497	5094
89	503	5095
90	510	5099
91	515	5086
92	520	5073
93	525	5061
94	529	5047
95	534	5034
96	539	5021
97	543	5006
98	548	4994
99	553	4983
100	558	4972
101	563	4958
102	567	4945
103	572	4933
104	577	4924
105	582	4912
106	587	4900
107	591	4887
108	596	4875
109	601	4864
110	606	4854
111	611	4844
112	615	4834
113	620	4824
114	625	4812
115	629	4800
116	634	4790
117	639	4779
118	643	4766
119	648	4755
120	654	4752
121	659	4745
122	664	4740
123	670	4735
124	677	4744
125	684	4751
126	690	4744
127	696	4743
128	701	4737
129	706	4729
130	711	4722
131	717	4715
132	723	4713
133	728	4708
134	733	4699
135	739	4699
136	744	4688
137	749	4678
138	754	4670
139	758	4660
140	763	4651
141	768	4643
142	773	4634
143	777	4624
144	782	4615
145	787	4605
146	792	4595
147	796	4585
148	801	4576
149	806	4568
150	811	4559
151	816	4556
152	821	4550
153	827	4543
154	832	4537
155	837	4533
156	844	4536
157	849	4527
158	854	4518
159	859	4512
160	863	4502
161	868	4492
162	873	4483
163	877	4474
164	882	4465
165	887	4456
166	891	4448
167	896	4439
168	901	4430
169	905	4422
170	910	4413
171	914	4404
172	919	4396
173	924	4387
174	928	4379
175	933	4370
176	938	4361
177	942	4354
178	947	4346
179	952	4337
180	956	4329
181	961	4321
182	966	4313
183	970	4305
184	975	4297
185	980	4289
186	984	4281
187	989	4274
188	995	4271
189	1000	4265
190	1005	4260
191	1010	4253
192	1015	4248
193	1021	4243
194	1026	4239
195	1031	4232
196	1036	4225
197	1041	4219
198	1046	4213
199	1051	4207
200	1057	4202
201	1061	4195
202	1066	4188
203	1071	4180
204	1076	4173
205	1080	4165
206	1085	4157
207	1090	4150
208	1094	4143
209	1099	4135
210	1104	4130
211	1109	4122
212	1113	4114
213	1118	4107
214	1123	4100
215	1127	4093
216	1132	4085
217	1136	4077
218	1141	4069
219	1146	4064
